Name,AVGReturn,STD,NRoll,TSteps,Epochs,Batch_size,DAggerIters
Humanoid-v2,843.9203251487643,665.0378190896428,20,1000,1000,64,1
Humanoid-v2,848.8801364576927,335.155743362886,20,1000,1000,64,2
Humanoid-v2,1487.8878737838706,808.9255272303678,20,1000,1000,64,3
Humanoid-v2,1923.9159406013066,944.2504611373722,20,1000,1000,64,4
Humanoid-v2,2064.154366486031,1192.6702484884981,20,1000,1000,64,5
Humanoid-v2,3980.5432528473275,1890.7994781816712,20,1000,1000,64,6
Humanoid-v2,2403.4872704673407,1024.9667314563353,20,1000,1000,64,7
Humanoid-v2,4487.5772894624315,2482.2533853662294,20,1000,1000,64,8
Humanoid-v2,1574.2130246282102,678.0149011891873,20,1000,1000,64,9
Humanoid-v2,6525.721384556915,3699.920266577634,20,1000,1000,64,10